Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Leben Care Technologies Pte Ltd,https://www.crunchbase.com/organization/leben-care-technologies-pte-ltd,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device","Singapore, Central Region, Singapore","Deep Learning AI healthcare startup in Ophthalmology space,  developing solutions to tackle the global problem of avoidable blindness. ",,2016-09-26,day,,,,Imran Akthar,1-10,Seed,2019-07-24,Angel,,,,,,,,,,Private,,,,,,,
MakeSense,https://www.crunchbase.com/organization/makesense-digital-health,"Artificial Intelligence (AI), Health Care, Mobile Apps","Rishon Le Zion, HaMerkaz, Israel","MakeSense offers AI platform to assess meal health, aiding diet goals, and managing conditions like diabetes using wearable sensors.",,2018-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Luca Healthcare,https://www.crunchbase.com/organization/luca-healthcare,"Artificial Intelligence (AI), Health Care, Machine Learning","Changning, Shanghai, China","Luca Healthcare develops predictive healthcare solutions to diagnose, monitor, and treat diseases.",,2021-01-01,year,,,,Echo Chen,11-50,,,,,,,,,,,,,Private,,,,,,,1
Tell Touch,https://www.crunchbase.com/organization/tell-touch,"Artificial Intelligence (AI), Elder Care, Health Care, Home Health Care, Mobile Apps, Nursing and Residential Care, Retirement, SaaS, Software","Hawthorn, Victoria, Australia",Tell Touch is an AI powered digital feedback management system for aged care.,,2019-01-01,year,,,,"Christine Brodrick, Diana Cooper, Raef Akehurst",1-10,,,,,,,,,,,,,Private,,,,,,Engineering,3
Orbuculum,https://www.crunchbase.com/organization/orbuculum,"Artificial Intelligence (AI), Biotechnology, Health Care","Chennai, Tamil Nadu, India",A artificial intelligent system used for disease diagnosis of disease.,,2017-01-01,year,,,,Pranav Gangwal,,,,,,,,,,,,,,Private,,,,,,,
KENKONE,https://www.crunchbase.com/organization/kenkone-kangtong-medical-technology,"Artificial Intelligence (AI), Health Care, Hospital, mHealth, Natural Language Processing","Taipei, T'ai-pei, Taiwan","Through digital transformation, we enhance healthcare worker well-being and elevate patient care standards by optimizing workflows.",,2019-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
The Skribled Lab,https://www.crunchbase.com/organization/elah-valley-consulting,"Artificial Intelligence (AI), Health Care, Podcast, SaaS","Singapore, Central Region, Singapore","The Skribled Lab is a software innovation hub focused on improving technologies in healthcare, AI, and global communications.",,2021-01-01,year,,,,Sofiane Bennacer,1-10,,,,,,,,,,,,,Private,,,,,,,
Biogenick,https://www.crunchbase.com/organization/biogenick,"Artificial Intelligence (AI), Bioinformatics, Health Care, Machine Learning","Kolkata, West Bengal, India","Biogenick Life is an AI driven app that can decode the mystery of health by translating genomic, health IoT, clinical and lifestyle data.",,2017-01-01,year,,,,"Abhijnan Basu, Dr. Animikh Ray",1-10,,2018-06-01,Non-equity Assistance,,,,,,,,,,Private,,,,,,Engineering,2
Privaseverse,https://www.crunchbase.com/organization/privaseverse,"Artificial Intelligence (AI), Health Care, Information Technology, Internet, Software","Hyderabad, Andhra Pradesh, India",Changing the way people use Internet with CYBER 2.0. Platform where End-End Anynomity and data breach proof by default(PII).,,2023-08-08,day,,,,Om Namashivaya B,,,,,,,,,,,,,,Private,,,,,,,
Vetflux,https://www.crunchbase.com/organization/vetflux,"Artificial Intelligence (AI), Chatbot, Software, Telehealth, Veterinary","Seoul, Seoul-t'ukpyolsi, South Korea",Vetflux is a telehealth veterinary platform that offers a chatbot powered by artificial intelligence.,,,,,,,,,Seed,2022-10-17,Seed,,,,,,,,,,Private,,,,,,,
NextDoor,https://www.crunchbase.com/organization/nextdoor-5416,"Artificial Intelligence (AI), Health Care, Information Services, Medical","Mapo, Seoul-t'ukpyolsi, South Korea",NextDoor is a medical artificial intelligence company.,,2017-06-01,day,,,,,,,,,,,,,,,,,,Private,,,,,,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Product, Sales",169
TechnomaX Systems,https://www.crunchbase.com/organization/technomax-systems,"Artificial Intelligence (AI), Content, Document Management, Education, Health Care, Manufacturing, Online Portals, Outsourcing, Robotic Process Automation (RPA), Training","Dubai, Dubai, United Arab Emirates","TechnomaX Systems, a Microsoft Gold partner that specializes in Microsoft AI, SharePoint & Powerplatform.",,2015-01-01,year,,,,Anantha Narayanan,51-100,,,,,,,,,,,,,Private,,,,,,Engineering,1
TranquilMind,https://www.crunchbase.com/organization/tranquilmind,"Artificial Intelligence (AI), Health Care, mHealth, Neuroscience, Psychology, Virtual Reality, Wellness","Bangalore, Karnataka, India","mHealth, Mental Health, Conversational AI, VR Therapy, Mental Wellness",,2022-05-06,day,,,,Jayant Ghosh,1-10,,,,,,,,,,,,,Private,,,,,,,
Pharmacorex,https://www.crunchbase.com/organization/pharmacorex,"Artificial Intelligence (AI), Health Care, Pharmaceutical, Test and Measurement","Daejeon, Taejon-jikhalsi, South Korea",Pharmacorex is an AI-based drug development platform.,,2019-01-01,year,,,,,,Seed,2022-05-10,Seed,,,,,,,,,,Private,,,,,,,
Human Fractal,https://www.crunchbase.com/organization/humanfractal-ai,"Artificial Intelligence (AI), Health Care, Machine Learning, Wellness","Bangalore, Karnataka, India",HumanFractal is an AI-based digital health company for patient management.,,2016-01-01,year,,,,"Srinivasa Vivek Jothiprakasam, Vignesh Babu J",11-50,,,,,,,,,,,,,Private,,,,,,,
Digiray,https://www.crunchbase.com/organization/digiray-9c0c,"Artificial Intelligence (AI), Dental, Health Care, Manufacturing, Medical Device","Ilsandong, Kyonggi-do, South Korea",Digiray is a manufacturer of dental imaging solutions.,,2007-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
My Medic Watch,https://www.crunchbase.com/organization/my-medic-watch,"Apps, Artificial Intelligence (AI), Health Care, iOS","Sydney, New South Wales, Australia",My Medic Watch is developing two mobile apps: A fall detection app for the elderly and epileptics.,,2016-01-01,year,,,,,,,,,,,,,,,,,,Private,,,,,,,
wellOwise,https://www.crunchbase.com/organization/wellowise,"Apps, Artificial Intelligence (AI), Big Data, Fitness, Genetics, Health Care, Machine Learning, Nutrition, Personal Health, Wellness","New Delhi, Delhi, India",We quantify health using unique biological data points to give actionable insights and personalised interventions.,,2017-10-02,day,,,,"Manish Kumar, Saher Mehdi",1-10,,,,,,,,,,,,,Private,,,,,,Operations,1
VitAlerter,https://www.crunchbase.com/organization/vitalerter,"Artificial Intelligence (AI), Cloud Computing, Health Care","Lod, HaMerkaz, Israel",VitAlerter provides a medical solution that enables a safe and secure environment.,,2017-03-01,day,,,,Miki Raviv,11-50,,,,,,,,,,,,,Private,,,,,,,
TaiHao Medical,https://www.crunchbase.com/organization/taihao-medical,"Artificial Intelligence (AI), Health Care, Medical, Software","Taipei, T'ai-pei, Taiwan",TaiHao Medical is an artificial intelligence company develops software for medical imaging.,,2013-01-01,month,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Shaurya Technocrats,https://www.crunchbase.com/organization/doctorkepaas,"Artificial Intelligence (AI), Health Care, Industrial Automation, Information Technology, mHealth, SaaS","Noida, Uttar Pradesh, India","Intelligent Automation powered Clinical Assistance Platform, SaaS",,2013-11-17,day,,,,"Anuj Saraswat, Khalid M",11-50,,,,,,,,,,,,,Private,,,,,,,
Smilebird,https://www.crunchbase.com/organization/smilebird,"Artificial Intelligence (AI), Dental, Health Care","Pune, Maharashtra, India",Smilebird is dental care company that provides affordable and quality dental treatments by specialist through asset light chain of clinics.,,2023-01-01,year,,,,Gulshan Saluja,1-10,,,,,,,,,,,,,Private,,,,,,,
CogniX,https://www.crunchbase.com/organization/cognix-1930,"Artificial Intelligence (AI), Health Care","Hyderabad, Andhra Pradesh, India",CogniX provides cutting-edge technology to revolutionize motion analytics. We do advanced R&D to build custom cognitive solutions.,,2022-05-10,day,,,,"Ashutosh Bhatia, Kamlesh Tiwari, Mohit Mathur, Santosh Yadav",11-50,Seed,2022-09-15,Pre-Seed,,,,,,,,,,Private,,,,,,,1
tmsuk,https://www.crunchbase.com/organization/tmsuk,"Artificial Intelligence (AI), Medical, mHealth, Nursing and Residential Care, Robotics","Fukuoka, Fukuoka, Japan",TMSUK is a robotic company aiming to create safe and comfortable society in which people and robots can coexist.,,2000-01-01,day,,,,,11-50,,2017-07-01,Venture - Series Unknown,,,,,,,,,,Private,,,,,,,
Radical Health,https://www.crunchbase.com/organization/radical-health,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Medical, Software","New Delhi, Delhi, India",Radical Health concentrates on developing vision and language models using cutting-edge deep learning techniques.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,1
MACSO,https://www.crunchbase.com/organization/macso,"AgTech, Artificial Intelligence (AI), Health Diagnostics","Auckland, Auckland, New Zealand",MACSO aims to give AI the capacity to mimic human senses in order to prevent catastrophes from occurring.,,2020-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,Engineering,3
Sofihub,https://www.crunchbase.com/organization/sofihub,"Artificial Intelligence (AI), Assisted Living, Health Care, Machine Learning","Melbourne, Victoria, Australia",Sofihub is a digital assisted living solution using Artificial Intelligence and sensor technology to support seniors to live independently.,,2016-01-01,year,,,,,11-50,Seed,2017-01-01,Seed,,,,,,,,,,Private,,,,,,,1
HeadUp Labs,https://www.crunchbase.com/organization/headup-labs,"Artificial Intelligence (AI), Health Care, Information Technology, InsurTech, Machine Learning, Software, Wellness","Melbourne, Victoria, Australia",HeadUp Labs is a provider of an app that manages health & wellness.,,2016-01-01,year,,,,Glenn Riseley,11-50,,,,,,,,,,,,,Private,,,,,,,
Kogi Mind,https://www.crunchbase.com/organization/kogi-mind-pte-limited,"Artificial Intelligence (AI), Corporate Training, Employee Benefits, Health Care, Internet of Things, mHealth, SaaS, Software, Wellness","Singapore, Central Region, Singapore",Empowering Workplace Wellbeing. AI-Powered Platform for the Mind,,2017-01-15,day,,,,"Antony Man, Jamnan Law, Jay Ho, Kendy Abbasi",1-10,,,,,,,,,,,,,Private,,,,,,,
Maverick Medical AI,https://www.crunchbase.com/organization/maverick-medical-ai-4b3b,"Artificial Intelligence (AI), Health Care, Information Technology","Tel Aviv-yafo, Tel Aviv, Israel","Maverick Medical AI automates healthcare coding with AI, achieving 85% Direct-to-Bill rate and 97% accuracy.",,2019-01-01,year,,,,Yossi Shahak,11-50,,,,,,,,,,,,,Private,,,,,,,
AILON,https://www.crunchbase.com/organization/ailon,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Pharmaceutical","Seongnam, Kyonggi-do, South Korea",AILON is an artificial intelligence lab that develops drugs through collaboration with institutions and pharmaceutical companies.,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,
Ammras,https://www.crunchbase.com/organization/ammras,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Machine Learning, Software","Bangalore, Karnataka, India",Cloud-Based Business Solutions for the Global Life Sciences Industry.,,2016-11-04,day,,,,"Abilash Raghunandanan, Raghunandanan Sanku",11-50,,,,,,,,,,,,,Private,,,,,,,
Mozon,https://www.crunchbase.com/organization/mozon,"Artificial Intelligence (AI), Consulting, Health Care, Information Technology, Quality Assurance","Dubai, Dubai, United Arab Emirates","Mozon offers business integration, quality assurance, patient engagement, consultation, AI, and remote patient care services.",,,,,,,,101-250,,,,,,,,,,,,,Private,,,,,,,
OnliDoc,https://www.crunchbase.com/organization/onlidoc,"Artificial Intelligence (AI), Big Data, Education, Health Care, Machine Learning, Medical, Software","Singapore, Central Region, Singapore",OnliDoc is a AI-driven & deep learning platform.,,,,,,,"Arun Phophalia, Dipendra Jain",,,,,,,,,,,,,,Private,,,,,,,
Cubec,https://www.crunchbase.com/organization/cubec,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device","Kobe, Kyoto, Japan",Cubec is a manufacturing company that produces medical devices for heart failure diagnosis and treatment with AI technology.,,2023-02-01,month,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
Sonaris,https://www.crunchbase.com/organization/sonaris,"Artificial Intelligence (AI), Computer Vision, Health Care, Health Diagnostics, Machine Learning, Medical Device","Haifa, Hefa, Israel",Sonaris provides AI-powered ultrasound screening tests in clinics.,,2017-01-01,year,,,,"Samer Toume, Samer Toume, Tom Mayblum, Tom Mayblum",1-10,Seed,2017-02-22,Seed,,,,,,,,,,Private,,,,,,,
Health Engineers,https://www.crunchbase.com/organization/health-engineers,"Artificial Intelligence (AI), Health Care, Software","Singapore, Central Region, Singapore",Health Engineers is a data-driven technology company that develops digital healthcare solutions in genomics and hospital automation.,,2009-01-01,year,,,,Balaji D Loganathan,51-100,,,,,,,,,,,,,Private,,,,,,Engineering,1
Radica Health,https://www.crunchbase.com/organization/radica-health,"Artificial Intelligence (AI), Blockchain, Health Care, Information Technology, Medical, Software","Taipei, T'ai-pei, Taiwan",Radica Health is a provider of AI-based software for managing clinic administration.,,2018-01-01,year,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
HealAI,https://www.crunchbase.com/organization/healai,"Artificial Intelligence (AI), Health Care","Beijing, Beijing, China", Beijing Based  Healthcare Start Up,,2016-01-01,year,,,,,1-10,Early Stage Venture,2020-02-19,Series A,,,,,,,,,,Private,,,,,,,
TIIM Healthcare,https://www.crunchbase.com/organization/tiim-healthcare,"Artificial Intelligence (AI), Health Care, Information Technology","Singapore, Central Region, Singapore",TIIM Healthcare is a healthcare technology and services company focussed on bringing AI to triage.,,2016-11-01,month,,,,,1-10,,,,,,,,,,,,,Private,,,,,,,
MindSense,https://www.crunchbase.com/organization/mindsense-f04c,"Artificial Intelligence (AI), B2B, Health Care, Health Insurance, Machine Learning, mHealth, Psychology, Wellness","Tel Aviv, Tel Aviv, Israel",Mindsense is the first ever technology to understand classic psychotherapy session and provide actionable insights at scale,,2021-01-01,month,,,,"Alex Shilman, Mor Bar, Shlomo Mendlvoic, Udi Bobrovsky",1-10,Seed,2021-07-15,Pre-Seed,,,,,,,,,,Private,,,,,,,
Arogya.ai,https://www.crunchbase.com/organization/arogya-ai,"Artificial Intelligence (AI), Health Care, Hospital, Machine Learning, SaaS","Jakarta, Jakarta Raya, Indonesia",Arogya.ai develops an AI-powered optimization platform for hospitals in order to streamline and reduce inventory management costs.,,2019-01-01,year,,,,Victor Fungkong,11-50,,,,,,,,,,,,,Private,,,,,,Information Technology,2
SoftClinic GenX,https://www.crunchbase.com/organization/softclinic-genx,"Artificial Intelligence (AI), Health Care","Ahmedabad, Gujarat, India","SoftClinic GenX is India's First Zero Cost AI Powered Clinic. Save paper & save cost, send digital prescription directly on WhatsApp",,2021-01-01,year,,,,,11-50,,,,,,,,,,,,,Private,,,,,,,
VDAI BioSec Private Limited,https://www.crunchbase.com/organization/vdai-biosec-private-limited,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Software","Kanpur, Uttar Pradesh, India",Health Focused Start-up using AI/ML for diagnostic,,2017-06-20,day,,,,Deepesh C.,11-50,,,,,,,,,,,,,Private,,,,,,,
VS Online Services Pvt Ltd,https://www.crunchbase.com/organization/vs-online-services,"Artificial Intelligence (AI), Consulting, Health Care, Information Technology, Robotics, Software, Web Development","Chennai, Tamil Nadu, India",Custom Software Development for Tech Product Startups. We provide technology consulting & deliver innovative solution with latest technology,,2014-09-11,day,,,,Sivakumar Anirudhan,11-50,,,,,,,,,,,,,Private,,,,,,,
